category,description,event_time,location
Security,Unauthorized access attempt,2025-09-01 19:58:00,Tank Farm E05
LTI,Slip and fall with >1 day lost time,2025-09-02 12:00:00,Rig B07
Security,Unauthorized access attempt,2025-09-03 13:46:00,Well D01
First Aid,Minor cut during handling tools,2025-09-04 20:33:00,Offshore Platform
First Aid,Minor cut during handling tools,2025-09-05 05:33:00,Offshore Platform
Property Damage,Forklift bumped storage rack,2025-09-06 20:16:00,Rig B07
Spill,Small diesel spill during fueling,2025-09-07 13:42:00,Offshore Platform
First Aid,Minor cut during handling tools,2025-09-08 00:45:00,Well D01
Fire,Small electrical fire contained,2025-09-09 12:51:00,Well A12
Spill,Small diesel spill during fueling,2025-09-10 18:44:00,Well D01
First Aid,Minor cut during handling tools,2025-09-11 19:22:00,Tank Farm E05
Near Miss,Dropped object avoided,2025-09-12 20:11:00,Well A12
Spill,Small diesel spill during fueling,2025-09-13 07:42:00,Workshop D01
LTI,Slip and fall with >1 day lost time,2025-09-14 02:33:00,Tank Farm E05
First Aid,Minor cut during handling tools,2025-09-15 03:14:00,Rig B07
First Aid,Minor cut during handling tools,2025-09-16 02:05:00,Workshop D01
Spill,Small diesel spill during fueling,2025-09-17 05:34:00,Offshore Platform
Fire,Small electrical fire contained,2025-09-18 20:56:00,Well D01
Spill,Small diesel spill during fueling,2025-09-19 18:56:00,Offshore Platform
LTI,Slip and fall with >1 day lost time,2025-09-20 12:17:00,Rig B07
Near Miss,Dropped object avoided,2025-09-21 00:41:00,Onshore Site
Spill,Small diesel spill during fueling,2025-09-22 21:07:00,Rig B07
Near Miss,Dropped object avoided,2025-09-23 07:19:00,Offshore Platform
Security,Unauthorized access attempt,2025-09-24 08:25:00,Rig B07
Near Miss,Dropped object avoided,2025-09-25 04:53:00,Warehouse
Spill,Small diesel spill during fueling,2025-09-26 11:47:00,Well D01
Medical Treatment,Eye irritation from chemical splash,2025-09-27 10:53:00,Offshore Platform
Spill,Small diesel spill during fueling,2025-09-28 22:50:00,Well A12
First Aid,Minor cut during handling tools,2025-09-29 10:30:00,Workshop D01
LTI,Slip and fall with >1 day lost time,2025-09-30 12:52:00,Well A12
